 Combination        Area
 -----------  ----------
    7   11     28.63
     22        12.00
      4         2.00
     15        19.00
     13        27.00
     14         8.00
     21         3.00
      9        17.00
      5        20.00
     25        26.00
     18         6.00
     10        23.00
      1        24.00
     16        28.63
      5         4.29
      3         2.96
      3         2.27
      3         2.10
      2         1.54
      1         1.30
      1         1.14
      1         1.10
      1         1.09
      1         0.96
      1         0.82
      1         0.93
